N,agent,mode,tau,K,seed,w_hat,W,wall_ms,offers_seen,solver_calls,label
50,optimizer,,,,1000,0.4962377152777779,6.3165338958333335,0.09512812500000001,0.0,714.1635416666667,opt_cda
50,optimizer,,,,1001,0.5749010416666667,8.096317111111112,0.09453916666666666,0.0,890.6193055555556,opt_cda
50,optimizer,,,,1002,0.5640939791666667,8.397852743055555,0.09866375000000001,0.0,875.6531944444444,opt_cda
50,optimizer,,,,1003,0.5544183125,7.64096729861111,0.0919678472222222,0.0,805.6431944444444,opt_cda
50,optimizer,,,,1004,0.5621031493055556,7.264513885416666,0.08860277777777778,0.0,846.8475694444445,opt_cda
100,optimizer,,,,1000,0.520418548611111,13.372261138888888,0.1768932986111111,0.0,1458.0697916666666,opt_cda
100,optimizer,,,,1001,0.5889759479166666,14.69372453472222,0.18866055555555558,0.0,1610.1596180555553,opt_cda
100,optimizer,,,,1002,0.5793597847222222,15.717005447916664,0.19874145833333334,0.0,1693.5164930555557,opt_cda
100,optimizer,,,,1003,0.6266826284722221,14.545974565972223,0.17547687500000003,0.0,1500.7031944444448,opt_cda
100,optimizer,,,,1004,0.570754173611111,15.126124038194446,0.20133618055555558,0.0,1763.0222222222221,opt_cda
200,optimizer,,,,1000,0.5887276493055555,28.315946194444443,0.3770948958333334,0.0,3111.678663194445,opt_cda
200,optimizer,,,,1001,0.58622,28.60273993402778,0.38894972222222224,0.0,3266.8181076388887,opt_cda
200,optimizer,,,,1002,0.6171258159722223,30.551807541666662,0.41705640625,0.0,3378.379375,opt_cda
200,optimizer,,,,1003,0.6285102118055556,29.355650354166666,0.38306114583333334,0.0,3140.429600694444,opt_cda
200,optimizer,,,,1004,0.6148737708333334,28.231896222222222,0.40278980902777783,0.0,3363.1784722222224,opt_cda
500,optimizer,,,,1000,0.6026537013888889,73.01610622569446,1.1626593680555557,0.0,8008.173125,opt_cda
500,optimizer,,,,1001,0.6118985659722223,73.23536797916667,1.1823734652777778,0.0,8207.173909722223,opt_cda
500,optimizer,,,,1002,0.6207378055555555,77.74102907291666,1.2096560833333334,0.0,8512.4609375,opt_cda
500,optimizer,,,,1003,0.6307814652777777,72.05228119444445,1.1487906458333335,0.0,8041.741451388889,opt_cda
500,optimizer,,,,1004,0.6131363229166668,72.65789724305556,1.203648013888889,0.0,8403.012993055556,opt_cda
100,optimizer,,,,1000,0.5416666666666666,13.409538784722223,0.1648400347222222,0.0,1493.0355208333335,opt_call
100,optimizer,,,,1001,0.59375,14.697973954861109,0.1778965277777778,0.0,1651.8980208333335,opt_call
100,optimizer,,,,1002,0.5902777777777778,15.663455927083334,0.18474951388888886,0.0,1712.9996180555559,opt_call
100,optimizer,,,,1003,0.6319444444444444,14.556465958333336,0.1685601736111111,0.0,1528.114826388889,opt_call
100,optimizer,,,,1004,0.5798611111111112,14.964979576388888,0.1894574652777778,0.0,1769.7531944444445,opt_call
200,optimizer,,,,1000,0.6041666666666666,28.577121180555555,0.3590170659722222,0.0,3178.0881076388887,opt_call
200,optimizer,,,,1001,0.59375,28.82253396875,0.3744498958333333,0.0,3346.18640625,opt_call
200,optimizer,,,,1002,0.6284722222222222,30.811695402777772,0.38573661458333336,0.0,3446.18921875,opt_call
200,optimizer,,,,1003,0.6354166666666666,29.519134229166664,0.36037234375,0.0,3190.2815625,opt_call
200,optimizer,,,,1004,0.625,28.122519947916665,0.37900586805555553,0.0,3413.62125,opt_call
500,optimizer,,,,1000,0.6145833333333334,73.03949002430555,0.9337122291666667,0.0,8161.611715277778,opt_call
500,optimizer,,,,1001,0.6215277777777778,73.59105520138888,0.9628897500000001,0.0,8410.094104166667,opt_call
500,optimizer,,,,1002,0.6319444444444444,78.03772330208332,0.9928238819444446,0.0,8646.1916875,opt_call
500,optimizer,,,,1003,0.6388888888888888,73.01747389236112,0.9438394791666667,0.0,8199.5881875,opt_call
500,optimizer,,,,1004,0.625,72.89725124305556,0.9740211875,0.0,8534.855277777779,opt_call
