label,agent,mode,N,w_hat_mean,wall_ms_mean,seeds
band,satisficer,band,50,0.36454623177083334,0.050914979166666666,20
k_greedy,satisficer,k_greedy,50,0.47112955046296295,0.0030606574074074073,15
k_search,satisficer,k_search,50,0.14975945555555556,0.0035569907407407408,15
band,satisficer,band,100,0.3671753527777778,0.10227631597222223,20
k_greedy,satisficer,k_greedy,100,0.47642872430555555,0.005539381944444445,15
k_search,satisficer,k_search,100,0.17018742916666665,0.006550631944444445,15
band,satisficer,band,200,0.3811960059027778,0.19995619184027777,20
k_greedy,satisficer,k_greedy,200,0.5054582310185185,0.01055537962962963,15
k_search,satisficer,k_search,200,0.19715037500000002,0.013126281250000002,15
band,satisficer,band,500,0.39265199131944445,0.6069530416666667,20
k_greedy,satisficer,k_greedy,500,0.5201409761574074,0.023117992592592593,15
k_search,satisficer,k_search,500,0.2159061881944445,0.027575180092592595,15
