N,agent,mode,tau,K,accept_rate,offers_seen_mean,wall_ms_mean,w_hat_mean,seeds
50,satisficer,band,1,,0.25958333333333333,803.259375,0.07314727777777778,0.3675060013888889,5
50,satisficer,band,5,,0.2734444444444445,709.559125,0.06468830555555556,0.3686860736111111,5
50,satisficer,band,10,,0.2763888888888889,505.62911111111106,0.04689759722222222,0.3668147048611111,5
50,satisficer,band,20,,0.276875,182.3010277777778,0.018926736111111113,0.35517814722222224,5
50,satisficer,k_greedy,,1,0.27484722222222224,0.29531944444444447,0.0034546527777777774,0.3677671881944444,5
50,satisficer,k_greedy,,3,0.3223055555555555,0.8694444444444445,0.0028255833333333336,0.48872660833333337,5
50,satisficer,k_greedy,,5,0.38341666666666663,1.1845277777777778,0.002901736111111111,0.5568948548611111,5
50,satisficer,k_search,,1,0.27484722222222224,0.29531944444444447,0.003372541666666667,0.14975945555555556,5
50,satisficer,k_search,,3,0.27484722222222224,0.8836527777777778,0.0035930833333333327,0.14975945555555556,5
50,satisficer,k_search,,5,0.27484722222222224,1.4667916666666667,0.0037053472222222223,0.14975945555555556,5
100,satisficer,band,1,,0.2632361111111111,1655.9169652777778,0.1500418888888889,0.37051626249999997,5
100,satisficer,band,5,,0.2720625,1418.5975902777777,0.12953516666666667,0.3710490375,5
100,satisficer,band,10,,0.27397222222222223,996.6216458333332,0.0927291736111111,0.3693398381944445,5
100,satisficer,band,20,,0.274375,348.9665069444444,0.03679903472222222,0.3577962729166667,5
100,satisficer,k_greedy,,1,0.2733125,0.2944097222222222,0.006464972222222222,0.3703195097222222,5
100,satisficer,k_greedy,,3,0.3123055555555555,0.8457013888888889,0.004965041666666666,0.4916060333333333,5
100,satisficer,k_greedy,,5,0.3665555555555556,1.2108124999999998,0.005188131944444444,0.567360629861111,5
100,satisficer,k_search,,1,0.2733125,0.2944097222222222,0.006567881944444446,0.17018742916666668,5
100,satisficer,k_search,,3,0.2733125,0.8812291666666667,0.006567763888888889,0.17018742916666668,5
100,satisficer,k_search,,5,0.2733125,1.4655208333333334,0.0065162499999999995,0.17018742916666668,5
200,satisficer,band,1,,0.26718055555555553,3285.015354166667,0.2985948263888889,0.3850766409722222,5
200,satisficer,band,5,,0.2734548611111111,2748.1054444444444,0.2521253784722222,0.38466368472222223,5
200,satisficer,band,10,,0.27517013888888886,1914.389434027778,0.17889182638888887,0.3829123423611111,5
200,satisficer,band,20,,0.27503124999999995,673.3147465277777,0.07021273611111112,0.37213135555555554,5
200,satisficer,k_greedy,,1,0.2734270833333333,0.2995902777777778,0.012594017361111109,0.3845434743055555,5
200,satisficer,k_greedy,,3,0.31301388888888887,0.8619652777777779,0.009395940972222221,0.5200991486111111,5
200,satisficer,k_greedy,,5,0.3738402777777778,1.2938506944444446,0.009676180555555556,0.611732070138889,5
200,satisficer,k_search,,1,0.2734270833333333,0.2995902777777778,0.013001364583333333,0.19715037500000002,5
200,satisficer,k_search,,3,0.2734270833333333,0.8975902777777778,0.013299555555555556,0.19715037500000002,5
200,satisficer,k_search,,5,0.2734270833333333,1.4939722222222223,0.013077923611111111,0.19715037500000002,5
500,satisficer,band,1,,0.2708833333333333,8328.236347222222,0.9156578180555556,0.3960117951388889,5
500,satisficer,band,5,,0.27532083333333335,6929.294404166666,0.7689575138888889,0.3957079215277778,5
500,satisficer,band,10,,0.27625555555555553,4829.686819444444,0.5397091569444445,0.3940783666666666,5
500,satisficer,band,20,,0.2761152777777778,1700.4652958333331,0.2034876777777778,0.38480988194444443,5
500,satisficer,k_greedy,,1,0.2745861111111111,0.3009805555555556,0.027454579166666666,0.39507923680555557,5
500,satisficer,k_greedy,,3,0.31631944444444443,0.8643652777777777,0.020387154166666668,0.5329227076388888,5
500,satisficer,k_greedy,,5,0.38145833333333334,1.3202125,0.021512244444444446,0.6324209840277778,5
500,satisficer,k_search,,1,0.2745861111111111,0.3009805555555556,0.027620693055555555,0.21590618819444446,5
500,satisficer,k_search,,3,0.2745861111111111,0.901425,0.02756025555555556,0.21590618819444446,5
500,satisficer,k_search,,5,0.2745861111111111,1.5005972222222221,0.027544591666666667,0.21590618819444446,5
